group,names,scores,logfoldchanges,pvals,pvals_adj
CD8 T cells,CCL5,24.774548,,1.6864698433455995e-135,3.372939686691199e-132
CD8 T cells,NKG7,22.953524,,1.358783392541829e-116,1.358783392541829e-113
CD8 T cells,B2M,18.922539,,7.438399857700358e-80,4.294345060318501e-77
CD8 T cells,GZMA,18.914959,,8.588690120637002e-80,4.294345060318501e-77
CD8 T cells,CST7,18.858608,,2.4970644403019326e-79,9.98825776120773e-77
CD8 T cells,IL32,18.401129,,1.286588335459425e-75,4.28862778486475e-73
CD8 T cells,CTSW,16.54608,,1.7087618481149155e-61,3.7972485513664793e-59
CD8 T cells,MALAT1,12.827907,,1.1441343859148396e-37,7.113342128253197e-36
CD8 T cells,GZMK,12.82593,,1.1737014511617776e-37,7.113342128253197e-36
CD8 T cells,GZMH,10.236671,,1.3582971580399184e-24,5.544070032815993e-23
CD8 T cells,LYAR,9.256956,,2.1034320905982e-20,6.278901762979701e-19
CD8 T cells,PRF1,8.918192,,4.739645131298972e-19,1.29853291268465e-17
CD8 T cells,KLRG1,8.752187,,2.092573983999223e-18,5.166849343207958e-17
CD8 T cells,CD2,8.544332,,1.2928284172949975e-17,3.0781628983214225e-16
CD8 T cells,VPS13A,8.180604,,2.824243604862669e-16,6.27609689969482e-15
CD8 T cells,PCNX,8.148474,,3.6854465400238266e-16,8.011840304399623e-15
CD8 T cells,AMIGO1,8.100774,0.23685019,5.461077742833742e-16,1.1497005774386825e-14
CD8 T cells,CENPF,8.092453,,5.847505338626823e-16,1.205671203840582e-14
CD8 T cells,ANKRA2,8.061312,,7.548019977559269e-16,1.5096039955118538e-14
CD8 T cells,RP3-325F22.5,8.012499,,1.1240095092401895e-15,2.1825427363887175e-14
CD8 T cells,STT3A,7.984859,-2.943259,1.4068321912094267e-15,2.679680364208432e-14
CD8 T cells,ZNF428,7.960102,,1.7189707489328783e-15,3.2130294372577165e-14
CD8 T cells,RHBDD3,7.953017,,1.8202297285294868e-15,3.347656562120876e-14
CD8 T cells,CYB561,7.934769,,2.1088726124145374e-15,3.7997704728189864e-14
CD8 T cells,PACRGL,7.92546,1.2904812,2.2730388692696996e-15,4.058997980838749e-14
CD8 T cells,NPHP3,7.9224114,,2.3294795367141184e-15,4.122972631352422e-14
CD8 T cells,WBP5,7.9089828,0.08502337,2.5950043962600035e-15,4.528006540962632e-14
CD8 T cells,DPY30,7.8848443,,3.1492822310550764e-15,5.429796950094959e-14
CD8 T cells,GIMAP7,7.8667197,,3.640613223611065e-15,6.223270467711223e-14
CD8 T cells,C1R,7.8530025,,4.061931655390438e-15,6.884629924390573e-14
CD8 T cells,FOPNL,7.833354,,4.750245817721474e-15,7.917076362869124e-14
CD8 T cells,DHX36,7.822891,,5.162374803930336e-15,8.532850915587333e-14
CD8 T cells,TRIT1,7.812099,,5.624345267963484e-15,9.220238144202433e-14
CD8 T cells,ADAL,7.8030367,,6.043506196197787e-15,9.826839343411036e-14
