group,names,scores,logfoldchanges,pvals,pvals_adj
CD8 T cells,CCL5,24.582745,,1.9321801854141356e-133,3.864360370828271e-130
CD8 T cells,NKG7,22.169598,,6.751085888518681e-109,6.751085888518681e-106
CD8 T cells,IL32,19.154701,,8.84302289992808e-82,5.895348599952053e-79
CD8 T cells,B2M,19.070108,,4.473697708542964e-81,2.236848854271482e-78
CD8 T cells,GZMA,18.32822,,4.927612356845464e-75,1.6425374522818213e-72
CD8 T cells,CST7,17.880642,,1.6690190700955223e-71,4.768625914558635e-69
CD8 T cells,CTSW,15.868223,,1.05176331310208e-56,1.4023510841361066e-54
CD8 T cells,MALAT1,13.012585,,1.0377181211636217e-38,6.289200734324979e-37
CD8 T cells,GZMK,12.436354,,1.6590650990764454e-35,8.967919454467273e-34
CD8 T cells,VPS13A,9.687871,,3.3953183145859997e-22,1.1132191195363933e-20
CD8 T cells,CENPF,9.39274,,5.845911460982547e-21,1.719385723818396e-19
CD8 T cells,GZMH,9.349009,,8.847346310319801e-21,2.5644482058897974e-19
CD8 T cells,CD2,9.345644,,9.1331823740495e-21,2.609480678299857e-19
CD8 T cells,DHX36,9.32062,,1.1566335103252039e-20,3.1688589323978193e-19
CD8 T cells,PACRGL,9.266959,1.0807745,1.9152859224964163e-20,5.040226111832675e-19
CD8 T cells,PCNX,9.259821,,2.047757200968966e-20,5.318849872646666e-19
CD8 T cells,TRIT1,9.256374,,2.1149118830487895e-20,5.422850982176383e-19
CD8 T cells,RP3-325F22.5,9.214201,,3.1360392541362635e-20,7.840098135340658e-19
CD8 T cells,RHBDD3,9.207761,,3.3299953633338745e-20,8.121939910570426e-19
CD8 T cells,WBP5,9.194263,-0.5149704,3.7757230321480136e-20,9.098127788308467e-19
CD8 T cells,C1R,9.147864,,5.806998070824484e-20,1.3826185882915438e-18
CD8 T cells,ADAL,9.14405,,6.015659106955679e-20,1.4154492016366302e-18
CD8 T cells,C1orf51,9.120255,,7.494767961988942e-20,1.7429692934858005e-18
CD8 T cells,LYAR,9.10844,,8.357494897839887e-20,1.921263194905721e-18
CD8 T cells,SPATA7,9.079805,0.78623295,1.0876964006925122e-19,2.472037274301164e-18
CD8 T cells,FOPNL,9.042637,,1.5293755244780453e-19,3.436798931411338e-18
CD8 T cells,NPHP3,9.016627,,1.9396939932220906e-19,4.216726072221936e-18
CD8 T cells,DPY30,8.984136,,2.6077602602285837e-19,5.490021600481229e-18
CD8 T cells,RUNDC1,8.980197,,2.7028179808085827e-19,5.630870793351214e-18
CD8 T cells,CYB561,8.954351,,3.417376190022109e-19,6.9742371224941e-18
CD8 T cells,EARS2,8.89142,,6.03328302445129e-19,1.1715112668837457e-17
CD8 T cells,UBA5,8.8746,,7.01852101310716e-19,1.3497155794436848e-17
CD8 T cells,RRS1,8.869924,,7.319637700748799e-19,1.3942167049045333e-17
CD8 T cells,DENND5B,8.866641,1.252441,7.538531850620005e-19,1.422364500116982e-17
CD8 T cells,ZSCAN5A,8.793945,,1.443974157623399e-18,2.625407559315271e-17
CD8 T cells,ALDH7A1,8.787628,-0.3809302,1.5275094870819997e-18,2.752269346093693e-17
CD8 T cells,DPY19L4,8.766049,3.257072,1.8504557275346916e-18,3.304385227740521e-17
CD8 T cells,CASC7,8.7494755,,2.1434754225725278e-18,3.7604831974956623e-17
CD8 T cells,PEMT,8.73487,,2.4393589439554246e-18,4.2057912826817665e-17
CD8 T cells,AL928768.3,8.729537,2.8635514,2.557170846285131e-18,4.3712322158720185e-17
CD8 T cells,MCOLN3,8.720019,-7.214159,2.7815415308393264e-18,4.714477170914113e-17
CD8 T cells,RAD51B,8.714317,-0.19252849,2.9251687631298027e-18,4.9162500220668955e-17
CD8 T cells,RARS,8.696717,,3.4162272911387505e-18,5.646656679568183e-17
CD8 T cells,NAA25,8.6924095,,3.548313639698829e-18,5.816907606063655e-17
CD8 T cells,AP001046.6,8.679405,-0.2786252,3.97844405244147e-18,6.469014719417025e-17
CD8 T cells,CPLX1,8.676205,,4.091937615973354e-18,6.599899380602183e-17
CD8 T cells,ZFX,8.646421,1.8398443,5.313965732048965e-18,8.502345171278344e-17
CD8 T cells,TMEM222,8.624925,,6.41349926020453e-18,1.0099998834967765e-16
CD8 T cells,FBXO41,8.614094,,7.049687395695378e-18,1.1015136555774028e-16
CD8 T cells,ACTR1B,8.606545,,7.529532432081817e-18,1.1583896049356642e-16
CD8 T cells,GOLGB1,8.60351,,7.731478411792581e-18,1.1803783834797832e-16
CD8 T cells,CLYBL,8.580946,,9.409598232726044e-18,1.4256967019281883e-16
CD8 T cells,DNMT3A,8.560926,,1.1196446820988385e-17,1.6836762136824638e-16
CD8 T cells,TSSC1,8.549193,,1.2395203224006618e-17,1.8500303319412862e-16
